
======================================================================
my data file
======================================================================
Best Track
 3 0.1
 1 1 3
 0 6
  0 -69.30 23.50
  1 -69.30 23.50
  2 -69.30 23.50
  3 -69.30 23.50
  4 -69.30 23.50
  5 -69.30 23.50
  6 -70.10 24.40
  7 -70.10 24.40
  8 -70.10 24.40
  9 -70.10 24.40
 10 -70.10 24.40
 11 -70.10 24.40
 12 -71.00 25.20
 13 -71.00 25.20
 14 -71.00 25.20
 15 -71.00 25.20
 16 -71.00 25.20
 17 -71.00 25.20
 18 -72.20 26.30
 19 -72.20 26.30
 20 -72.20 26.30
 21 -72.20 26.30
 22 -72.20 26.30
 23 -72.20 26.30
 24 -73.40 27.20
 25 -73.40 27.20
 26 -73.40 27.20
 27 -73.40 27.20
 28 -73.40 27.20
 29 -73.40 27.20
 30 -74.90 28.00
 31 -74.90 28.00
 32 -74.90 28.00
 33 -74.90 28.00
 34 -74.90 28.00
 35 -74.90 28.00
 36 -76.10 29.00
 37 -76.10 29.00
 38 -76.10 29.00
 39 -76.10 29.00
 40 -76.10 29.00
 41 -76.10 29.00
 42 -77.50 30.20
 43 -77.50 30.20
 44 -77.50 30.20
 45 -77.50 30.20
 46 -77.50 30.20
 47 -77.50 30.20
 48 -78.80 31.70
 49 -78.80 31.70
 50 -78.80 31.70
 51 -78.80 31.70
 52 -78.80 31.70
 53 -78.80 31.70
 54 -80.30 33.50
 55 -80.30 33.50
 56 -80.30 33.50
 57 -80.30 33.50
 58 -80.30 33.50
 59 -80.30 33.50
 60 -81.70 35.90
 61 -81.70 35.90
 62 -81.70 35.90
 63 -81.70 35.90
 64 -81.70 35.90
 65 -81.70 35.90
 66 -81.80 38.50
 67 -81.80 38.50
 68 -81.80 38.50
 69 -81.80 38.50
 70 -81.80 38.50
 71 -81.80 38.50
 72 -80.20 42.20
